listing_id,date,num_reviews,reviewers
38322583,01/10/2024,1,544285889
38322583,01/06/2025,5,"565,885,362,212,496,000,000,000,000,000,000,000,000,000,000"
38322583,01/11/2024,1,32050556
40976598,01/05/2025,1,147931455
38322583,01/02/2025,1,297567549
32347153,01/07/2025,2,"17,304,315,508,731,000"
32347153,01/04/2025,2,"6,950,098,697,215,430"
32347153,01/11/2024,1,156574346
24568714,01/01/2025,2,"474,472,165,297,932,000"
32347153,01/08/2025,1,17304315
28505992,01/03/2025,1,101283889
32347153,01/12/2024,1,13941672
32347153,01/02/2025,2,"1,730,431,513,556,560"
32347153,01/01/2025,1,179281530
14535080,01/11/2024,1,596414752
41479803,01/02/2025,1,342110242
41479803,01/10/2024,1,342110242
21359003,01/09/2024,2,"1,446,223,961,849,960"
14535080,01/01/2025,1,166239102
41759384,01/11/2024,1,277818917
14535080,01/05/2025,1,693818877
14535080,01/04/2025,1,504130663
14535080,01/09/2024,3,"3,950,156,791,338,140,000,000,000"
29733594,01/10/2024,1,292152086
41360541,01/01/2025,1,60881544
29733594,01/11/2024,2,"458,084,760,363,820,000"
40675899,01/10/2024,1,45692081
39842969,01/02/2025,4,"87,060,237,310,492,500,000,000,000,000,000,000"
35571707,01/10/2024,1,86512337
41360541,01/12/2024,1,652203107
35571707,01/08/2025,1,151440874
39875956,01/01/2025,1,7889569
21520917,01/11/2024,1,500859512
41360541,01/10/2024,1,106703940
40487133,01/12/2024,1,268577
24003188,01/09/2024,1,68611262
29733594,01/09/2024,1,493188784
36253079,01/12/2024,1,292302523
29733594,01/02/2025,1,382998057
39875956,01/05/2025,1,2650311
35571707,01/03/2025,1,217335387
24003188,01/03/2025,1,76592348
39842969,01/03/2025,1,213121995
29733594,01/01/2025,1,457365852
35571707,01/04/2025,2,"238,512,733,238,512,000"
41360541,01/02/2025,1,20230578
36253079,01/06/2025,2,"292,302,523,292,302,000"
23919074,01/10/2024,1,372415748
28200158,01/11/2024,2,"89,001,744,374,421,300"
28200158,01/10/2024,1,133370578
23919074,01/02/2025,1,21804697
9462637,01/06/2025,1,339097226
23919074,01/11/2024,1,167131519
28200158,01/07/2025,3,"5,965,077,487,402,530,000,000,000"
20987055,01/12/2024,2,"117,146,938,385,582,000"
9462637,01/01/2025,1,521858112
28200158,01/05/2025,1,26345487
29978963,01/09/2024,2,"209,464,578,233,472,000"
28200158,01/12/2024,1,77389119
41817931,01/01/2025,1,150272022
20987055,01/04/2025,3,"5,990,247,326,409,320,000,000,000"
6860188,01/01/2025,1,260074141
5663914,01/10/2024,2,"199,515,715,276,008"
28200158,01/08/2025,1,13420520
20987055,01/03/2025,1,478703457
29978963,01/01/2025,1,13996316
9462637,01/07/2025,1,363061243
20987055,01/05/2025,2,"9,752,767,389,184,190"
23919074,01/04/2025,1,14383095
6860188,01/12/2024,2,"25,411,412,443,581,900"
20987055,01/02/2025,1,457326798
5663914,01/09/2024,3,"587,502,707,464,765,000,000,000,000"
5663914,01/12/2024,1,660207940
38651589,01/12/2024,1,43684719
6860188,01/10/2024,1,498824101
28200158,01/09/2024,2,"71,346,889,446,210,400"
6860188,01/06/2025,1,66210554
6860188,01/09/2024,1,443581915
28200158,01/02/2025,2,"386,746,066,559,856,000"
20987055,01/06/2025,1,138579311
20987055,01/09/2024,1,1233871
6860188,01/05/2025,2,"68,823,145,758,453,500"
38651589,01/01/2025,1,152238482
9462637,01/09/2024,1,551230589
20987055,01/01/2025,1,4570470
36683442,01/07/2025,1,462537214
36683442,01/09/2024,3,"170,309,782,205,560,000,000,000"
32888358,01/08/2025,1,423462627
32888358,01/02/2025,1,442368799
36683442,01/04/2025,3,"2,082,661,274,013,010,000,000,000"
40570602,01/01/2025,3,"40,175,366,026,688,000,000,000,000"
32888358,01/01/2025,1,269973814
19194468,01/12/2024,1,32614269
32888358,01/06/2025,3,"76,557,342,253,152,800,000,000"
36683442,01/12/2024,2,"386,036,718,302,667,000"
40570602,01/03/2025,4,"822,848,627,649,960,000,000,000,000,000,000"
40570602,01/10/2024,4,"50,407,312,633,244,200,000,000,000,000,000,000"
36683442,01/05/2025,2,"39,070,284,261,198,400"
40570602,01/02/2025,3,"8,065,632,120,338,890,000,000,000"
21444189,01/01/2025,1,89001744
4336990,01/12/2024,1,142476770
36683442,01/01/2025,2,"26,861,388,417,321,700"
32888358,01/11/2024,2,"148,834,084,373,270,000"
36683442,01/02/2025,2,"6,219,671,546,635,530"
32888358,01/05/2025,1,126132429
40570602,01/05/2025,1,460263977
12899465,01/09/2024,2,"373,942,811,401,831,000"
40570602,01/07/2025,1,391617679
40570602,01/12/2024,5,"568,396,615,470,291,000,000,000,000,000,000,000,000,000"
32888358,01/10/2024,1,37213682
40570602,01/11/2024,2,"659,309,154,120,130,000"
32888358,01/04/2025,3,"10,516,558,117,248,300,000,000,000"
32888358,01/03/2025,1,505995772
40570602,01/06/2025,3,"17,331,302,054,143,400,000,000,000"
32888358,01/12/2024,2,"17,734,157,173,043,400"
40570602,01/09/2024,3,"590,276,184,233,676,000,000,000"
32888358,01/07/2025,1,1667614
36683442,01/10/2024,2,"3,824,852,986,649"
36683442,01/11/2024,2,"191,535,677,441,695,000"
19194468,01/10/2024,1,261186115
32888358,01/09/2024,2,"364,530,707,504,336,000"
36683442,01/06/2025,1,375826316
39630135,01/06/2025,1,496130152
31821799,01/07/2025,1,442872217
12184015,01/04/2025,2,"8,340,167,683,401,670"
2868580,01/04/2025,1,45308180
12184015,01/11/2024,1,227089848
906958,01/10/2024,1,402025706
906958,01/11/2024,1,221480355
12184015,01/06/2025,1,269089535
2868580,01/12/2024,1,220213018
41678881,01/11/2024,1,106013529
12184015,01/01/2025,1,290740256
2868580,01/02/2025,1,16488498
34107982,01/10/2024,1,158044065
39630135,01/12/2024,1,24768271
31821799,01/03/2025,1,232471179
39630135,01/11/2024,2,"653,471,160,567,875,000"
31821799,01/04/2025,2,"232,471,179,232,471,000"
2868580,01/08/2025,1,10022069
12184015,01/07/2025,1,179932781
31821799,01/05/2025,1,32636378
2868580,01/09/2024,1,33701429
12184015,01/03/2025,1,282036121
31821799,01/01/2025,1,181545032
906958,01/03/2025,2,"4,603,348,646,033,480"
39630135,01/01/2025,1,32907812
34107982,01/07/2025,2,"341,366,345,704,594,000"
40993682,01/11/2024,1,289291547
40993682,01/12/2024,1,337781544
10345396,01/02/2025,3,"38,339,494,132,667,400,000,000,000"
5234165,01/04/2025,1,685471217
5234165,01/09/2024,1,402781827
40484073,01/09/2024,1,136465918
40993682,01/01/2025,1,14049641
10345396,01/06/2025,2,"81,473,558,425,311,600"
5234165,01/05/2025,1,398405385
10345396,01/03/2025,1,194482451
40484073,01/01/2025,2,"34,863,135,666,878,200"
40484073,01/06/2025,1,160173971
10345396,01/04/2025,3,"39,573,373,832,667,400,000,000,000"
40993682,01/03/2025,1,189785421
40993682,01/10/2024,1,189785421
40484073,01/03/2025,1,568954723
10345396,01/05/2025,3,"3,266,740,948,340,720,000,000,000"
40484073,01/12/2024,2,"12,316,844,681,407,400"
5234165,01/02/2025,1,674095659
19421984,01/03/2025,2,"1,203,446,951,667,610"
12498542,01/02/2025,1,149366775
19421984,01/02/2025,3,"1,413,230,175,182,010,000,000,000"
40550579,01/10/2024,1,392943003
41147149,01/04/2025,2,"254,367,542,292,569,000"
29209289,01/09/2024,4,"46,610,920,476,066,400,000,000,000,000,000,000"
19421984,01/01/2025,1,7035867
29209289,01/10/2024,1,18926766
12498542,01/05/2025,1,451880296
41818959,01/09/2024,1,7311363
19421984,01/05/2025,1,486620005
19421984,01/08/2025,2,"16,187,579,653,437,300"
32379617,01/05/2025,1,21752482
41147149,01/05/2025,1,458139738
32379617,01/01/2025,1,571207143
19421984,01/07/2025,1,486620005
33014703,01/01/2025,1,144800150
