listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
13176448,01/02/2025,20,8,0.286,575,68.5,71.9,,,1,9287,8848,74271
13176448,01/03/2025,13,18,0.581,1171,65.7,65.1,3,4,1,8366,8443,150478
33036710,01/06/2025,19,11,0.367,529,48.7,48.1,1,6,1,6215,6292,68349
33036710,01/02/2025,24,4,0.143,301,81.7,75.2,,,1,9713,10553,38879
33036710,01/04/2025,13,17,0.567,1001,53.9,58.9,11,5,1,7628,6980,129630
33036710,01/01/2025,18,13,0.419,991,79.3,76.2,1,17,1,9843,10243,128007
33036710,01/05/2025,7,24,0.774,1155,48.3,48.1,1,29,1,6245,6271,149965
33036710,01/07/2025,6,25,0.806,1188,47.5,47.5,1,31,1,6137,6137,153494
33036710,01/12/2024,23,8,0.258,608,72.5,76,1,8,,9842,9389,78740
33036710,01/09/2024,30,0,0,0,79.5,,,,,,10270,0
13176448,01/07/2025,31,0,0,0,87.1,,,,1,,11254,0
33036710,01/03/2025,15,16,0.516,1504,98.4,94,27,11,1,12079,12645,193270
13176448,01/06/2025,28,2,0.067,141,71.2,70.5,4,1,1,9109,9199,18218
13176448,01/04/2025,9,21,0.7,1474,69.5,70.2,1,19,1,9091,9000,190884
13176448,01/05/2025,20,11,0.355,754,68.1,68.5,2,4,1,8894,8842,97899
13176448,01/01/2025,1,30,0.968,2161,72,72,25,11,1,9300,9300,279136
13176448,01/08/2025,29,2,0.065,183,85.8,91.5,1,11,2,11822,11086,23644
13176448,01/11/2024,29,1,0.033,76,75.8,76,1,1,1,9804,9778,9804
13176448,01/10/2024,31,0,0,0,75.9,,,,,,9791,0
13176448,01/12/2024,3,28,0.903,2140,76.4,76.4,5,43,1,9894,9894,277143
33036710,01/10/2024,31,0,0,0,76.7,,,,,,9894,0
33204777,01/03/2025,5,26,0.839,1024,39.3,39.4,1,26,1,5063,5050,131588
29291667,01/02/2025,28,0,0,0,53.5,,,,,,6910,0
29291667,01/11/2024,30,0,0,0,54.2,,,,,,6992,0
29291667,01/06/2025,20,10,0.333,522,51.9,52.2,1,10,,6744,6706,67444
33027529,01/06/2025,16,14,0.467,449,32.6,32.1,,,1,4147,4212,58012
29291667,01/12/2024,31,0,0,0,53.2,,,,,,6890,0
33027529,01/02/2025,28,0,0,0,37.3,,,,1,,4818,0
33027529,01/11/2024,30,0,0,0,37.7,,,,,,4863,0
33204777,01/06/2025,30,0,0,0,43.5,,,,1,,5620,0
33204777,01/01/2025,1,30,0.968,1194,39.8,39.8,15,47,1,5141,5141,154229
29291667,01/08/2025,31,0,0,0,50.9,,,,1,,6576,0
33027529,01/12/2024,23,8,0.258,294,36.5,36.8,6,15,,4766,4727,38075
33204777,01/05/2025,31,0,0,0,42.9,,,,1,,5570,0
33204777,01/12/2024,26,5,0.161,209,43.8,41.8,1,2,1,5413,5672,27067
29291667,01/04/2025,30,0,0,0,52.2,,,,,,6760,0
33204777,01/04/2025,13,17,0.567,695,41.5,40.9,,,1,5297,5374,90003
33027529,01/05/2025,2,29,0.935,929,32,32,12,21,1,4155,4155,120621
33027529,01/07/2025,31,0,0,0,32,,,,1,,4135,0
33204777,01/11/2024,19,11,0.367,511,45.5,46.5,1,11,,5999,5870,65919
29291667,01/07/2025,31,0,0,0,51.9,,,,1,,6706,0
29291667,01/05/2025,31,0,0,0,51.5,,,,,,6687,0
33204777,01/10/2024,31,0,0,0,49.4,,,,,,6373,0
29291667,01/10/2024,31,0,0,0,55,,,,,,7095,0
33204777,01/02/2025,0,28,1,1100,39.3,39.3,16,28,1,5076,5076,142084
33204777,01/09/2024,19,11,0.367,540,50.3,49.1,1,11,,6343,6498,69757
33027529,01/01/2025,24,7,0.226,257,37,36.7,,,1,4741,4779,33197
29291667,01/03/2025,31,0,0,0,53.7,,,,,,6901,0
33204777,01/08/2025,31,0,0,0,46.4,,,,1,,5995,0
33027529,01/09/2024,30,0,0,0,38,,,,,,4909,0
33027529,01/08/2025,31,0,0,0,31.2,,,,1,,4031,0
33027529,01/04/2025,26,4,0.133,126,32.2,31.5,1,4,1,4079,4170,16317
33204777,01/07/2025,31,0,0,0,44.5,,,,1,,5750,0
33027529,01/10/2024,31,0,0,0,37.2,,,,,,4799,0
29291667,01/09/2024,30,0,0,0,55.6,,,,,,7182,0
33027529,01/03/2025,31,0,0,0,36.5,,,,1,,4690,0
29291667,01/01/2025,31,0,0,0,52.6,,,,,,6794,0
20617766,01/09/2024,30,0,0,0,27.5,,,,,,3552,0
20617766,01/10/2024,31,0,0,0,27.8,,,,,,3586,0
20617766,01/06/2025,21,9,0.3,219,24.2,24.3,1,9,3,3140,3127,28296
20617766,01/02/2025,28,0,0,0,23.9,,,,3,,3087,0
20617766,01/04/2025,30,0,0,0,24.4,,,,3,,3160,0
20617766,01/03/2025,31,0,0,0,26,,,,3,,3341,0
20617766,01/01/2025,19,12,0.387,314,24.8,26.2,20,12,3,3384,3203,40559
20617766,01/12/2024,31,0,0,0,27.2,,,,,,3523,0
20617766,01/08/2025,31,0,0,0,24.1,,,,3,,3114,0
20617766,01/05/2025,31,0,0,0,23.8,,,,3,,3090,0
20617766,01/07/2025,31,0,0,0,25,,,,3,,3230,0
20617766,01/11/2024,30,0,0,0,27.5,,,,,,3548,0
32785219,01/07/2025,9,22,0.71,1146,51.6,52.1,,,3,6732,6667,148067
32785219,01/11/2024,2,28,0.933,1380,49.3,49.3,12,6,,6360,6360,178020
32785219,01/02/2025,5,23,0.821,1219,52.6,53,21,11,3,6846,6794,157455
32785219,01/10/2024,7,24,0.774,1211,51.1,50.5,11,4,,6515,6592,156219
32785219,01/04/2025,6,24,0.8,1160,48.1,48.3,12,21,3,6255,6229,150221
32785219,01/08/2025,12,19,0.613,1028,54.4,54.1,41,9,3,6990,7029,132821
32785219,01/03/2025,1,30,0.968,1496,49.7,49.9,,,3,6412,6387,192242
32785219,01/06/2025,12,18,0.6,1018,55.4,56.6,18,17,3,7313,7158,131529
32785219,01/01/2025,7,24,0.774,1286,53.3,53.6,15,6,3,6924,6885,166112
32785219,01/09/2024,4,26,0.867,1359,51.8,52.3,16,4,,6756,6692,175555
32785219,01/12/2024,9,22,0.71,1187,54.3,54,21,4,3,6993,7032,153724
32785219,01/05/2025,5,26,0.839,1246,48.2,47.9,3,6,3,6219,6258,161781
37855786,01/09/2024,24,6,0.2,75,12.6,12.5,13,3,,1615,1628,9688
29910042,01/11/2024,30,0,0,0,96.9,,,,,,12500,0
37855786,01/04/2025,30,0,0,0,14,,,,1,,1813,0
29910042,01/02/2025,28,0,0,0,96.1,,,,,,12413,0
29910042,01/04/2025,30,0,0,0,89.5,,,,,,11590,0
37855786,01/11/2024,28,2,0.067,24,12.7,12,6,2,,1548,1638,3096
29910042,01/09/2024,30,0,0,0,97.6,,,,,,12608,0
37855786,01/06/2025,30,0,0,0,14.9,,,,1,,1925,0
